epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
92,3933.28,0.52869,0.93673,0.27494,0.89357,0,0.98548,0.98829,0.98974,0.80815,0.97968,0.98189,0.9823,0.69893,0.7976,1.62051,0.3567,1.15407,0,0.00090991,0.00090991,0.00090991
93,3975.65,0.53164,0.91616,0.27404,0.88604,0,0.98478,0.98733,0.98973,0.80572,0.97859,0.98062,0.98084,0.69539,0.80542,1.62241,0.36012,1.15276,0,0.00090892,0.00090892,0.00090892
94,4019.8,0.52159,0.89744,0.26943,0.89227,0,0.9857,0.98746,0.99035,0.81352,0.97909,0.9808,0.98197,0.70322,0.78841,1.61536,0.35185,1.15319,0,0.00090793,0.00090793,0.00090793
95,4062.26,0.50894,0.88662,0.26741,0.87322,0,0.98554,0.98837,0.98989,0.81233,0.97924,0.982,0.98175,0.70268,0.78888,1.59301,0.35518,1.15208,0,0.00090694,0.00090694,0.00090694
96,4104.27,0.50723,0.89381,0.26583,0.87461,0,0.98588,0.98724,0.98986,0.8132,0.97973,0.98099,0.98193,0.70097,0.78862,1.60859,0.35712,1.15315,0,0.00090595,0.00090595,0.00090595
97,4146.32,0.50105,0.88271,0.26492,0.879,0,0.98574,0.98742,0.98955,0.81141,0.97916,0.98064,0.98062,0.70261,0.79126,1.62126,0.356,1.15912,0,0.00090496,0.00090496,0.00090496
98,4188.28,0.51383,0.89775,0.26955,0.87963,0,0.98558,0.98793,0.98963,0.81388,0.97923,0.98037,0.98103,0.70578,0.78271,1.60616,0.35251,1.14738,0,0.00090397,0.00090397,0.00090397
99,4230.85,0.50006,0.88106,0.26619,0.87194,0,0.98588,0.98933,0.99049,0.81256,0.97889,0.98228,0.98235,0.70377,0.7894,1.62679,0.35533,1.15222,0,0.00090298,0.00090298,0.00090298
100,4272.71,0.49621,0.8787,0.26459,0.87073,0,0.98505,0.98772,0.99003,0.81171,0.97834,0.98083,0.98082,0.70226,0.78996,1.59357,0.35624,1.15484,0,0.00090199,0.00090199,0.00090199
101,4314.74,0.50991,0.88587,0.26795,0.88564,0,0.98456,0.98774,0.98939,0.8128,0.97873,0.98182,0.98141,0.70399,0.78224,1.6266,0.35344,1.14557,0,0.000901,0.000901,0.000901
102,4356.86,0.49567,0.87227,0.26582,0.86692,0,0.98521,0.98853,0.98977,0.81411,0.97772,0.98103,0.98083,0.70711,0.78008,1.62368,0.35397,1.15473,0,0.00090001,0.00090001,0.00090001
103,4399.49,0.4886,0.85556,0.26166,0.86485,0,0.98556,0.98802,0.98958,0.81381,0.97933,0.9819,0.9816,0.70425,0.78351,1.63836,0.35202,1.15605,0,0.00089902,0.00089902,0.00089902
104,4441.48,0.47845,0.84863,0.25795,0.86094,0,0.9861,0.98899,0.98987,0.81757,0.97917,0.98207,0.98156,0.70831,0.76655,1.6168,0.34505,1.15106,0,0.00089803,0.00089803,0.00089803
105,4484.12,0.48602,0.8563,0.26067,0.86876,0,0.9853,0.9881,0.9896,0.81453,0.97814,0.98057,0.98106,0.70191,0.77422,1.61774,0.3507,1.14996,0,0.00089704,0.00089704,0.00089704
106,4526,0.47848,0.84983,0.2588,0.8619,0,0.98467,0.98754,0.98948,0.81526,0.9779,0.98082,0.98174,0.70845,0.77406,1.63151,0.3501,1.1543,0,0.00089605,0.00089605,0.00089605
107,4568.01,0.48699,0.85106,0.26287,0.86432,0,0.98362,0.9888,0.98998,0.81125,0.97721,0.9812,0.98134,0.69752,0.79172,1.62614,0.35605,1.16021,0,0.00089506,0.00089506,0.00089506
108,4610.02,0.47761,0.84794,0.25715,0.86242,0,0.98422,0.98657,0.98886,0.81371,0.97863,0.98084,0.98107,0.70822,0.77848,1.6248,0.3501,1.16154,0,0.00089407,0.00089407,0.00089407
109,4651.82,0.48147,0.84862,0.2573,0.86484,0,0.985,0.9881,0.98981,0.814,0.97775,0.98078,0.98052,0.70562,0.78091,1.68217,0.34871,1.16314,0,0.00089308,0.00089308,0.00089308
110,4693.9,0.4828,0.85329,0.25828,0.86499,0,0.98475,0.98739,0.98996,0.81733,0.97743,0.97989,0.98069,0.70912,0.76608,1.5975,0.34608,1.1435,0,0.00089209,0.00089209,0.00089209
111,4736.41,0.47689,0.84159,0.25762,0.85992,0,0.98565,0.98677,0.98979,0.8156,0.97748,0.97862,0.98026,0.70883,0.77668,1.64093,0.34896,1.15942,0,0.0008911,0.0008911,0.0008911
112,4778.07,0.46712,0.82619,0.25363,0.85554,0,0.98658,0.98791,0.99024,0.81687,0.97946,0.98066,0.98136,0.70723,0.76674,1.65157,0.34603,1.16308,0,0.00089011,0.00089011,0.00089011
113,4819.48,0.46819,0.83256,0.25545,0.85514,0,0.98553,0.9874,0.98976,0.81518,0.97844,0.97967,0.98058,0.70316,0.77729,1.65111,0.34919,1.16966,0,0.00088912,0.00088912,0.00088912
114,4860.97,0.47194,0.83219,0.25625,0.86253,0,0.98622,0.98826,0.99061,0.81731,0.97862,0.98063,0.98138,0.71081,0.76594,1.63106,0.34783,1.15377,0,0.00088813,0.00088813,0.00088813
115,4903.39,0.46517,0.81824,0.25279,0.85382,0,0.98567,0.98795,0.98987,0.81846,0.978,0.9802,0.98025,0.70786,0.76709,1.64576,0.34387,1.16585,0,0.00088714,0.00088714,0.00088714
116,4946.09,0.46384,0.82017,0.25102,0.85775,0,0.98496,0.98871,0.99001,0.82047,0.97897,0.9816,0.98257,0.71204,0.76095,1.62759,0.34077,1.1437,0,0.00088615,0.00088615,0.00088615
117,4988.4,0.45362,0.80853,0.2485,0.84951,0,0.98596,0.98792,0.99001,0.8214,0.97856,0.98045,0.98176,0.71362,0.75882,1.65724,0.34376,1.1574,0,0.00088516,0.00088516,0.00088516
118,5032.3,0.45365,0.80227,0.25025,0.85068,0,0.98489,0.98681,0.9895,0.82182,0.97937,0.98099,0.98198,0.71079,0.7539,1.65574,0.34056,1.15312,0,0.00088417,0.00088417,0.00088417
119,5076.17,0.44548,0.79589,0.24775,0.84677,0,0.98514,0.98797,0.98962,0.82135,0.97857,0.98149,0.98172,0.71415,0.75795,1.66737,0.34199,1.15945,0,0.00088318,0.00088318,0.00088318
120,5118.43,0.44689,0.7986,0.24639,0.84525,0,0.985,0.98808,0.99,0.82364,0.97926,0.98166,0.98233,0.71803,0.74781,1.61589,0.34005,1.15661,0,0.00088219,0.00088219,0.00088219
121,5160.85,0.44457,0.79295,0.24606,0.84594,0,0.98406,0.98857,0.98984,0.8225,0.97842,0.98179,0.98201,0.71358,0.7501,1.65334,0.3396,1.15633,0,0.0008812,0.0008812,0.0008812
